ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4533
Date: 5/9/2024
Start time: 2:37:37 PM
Stop time: 2:37:37 PM
Overruns:                                                            
Baudrate: 500 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:30:31.999","111","Std","","00 F7 00 24 F7 00 00 00"
"00:30:32.000","111","Std","","28 00 00 F1 B3 D8 01 78"
"00:30:32.000","111","Std","","30 02 88 02 58 06 FA 03"
"00:30:32.000","111","Std","","38 FE C4 D1 E8 00 90 FE"
"00:30:32.000","111","Std","","20 CC D1 E4 00 A8 FE E8"
"00:30:32.001","111","Std","","4C D2 04 00 B8 00 00 00"
"00:30:32.003","287","Std","","00 04 00 26 05 26 00 22"
"00:30:32.003","287","Std","","28 00 A1 FF FF FF FF FF"
"00:30:32.003","287","Std","","30 FF 35 30 35 31 33 46"
"00:30:32.003","287","Std","","38 63 0F 63 00 FF FF FF"
"00:30:32.004","287","Std","","20 FF 30 30 44 45 FF FF"
"00:30:32.004","287","Std","","4E FF FF 36 36 35 41 00"
"00:30:32.014","112","Std","","00 F5 00 24 F5 00 00 00"
"00:30:32.015","112","Std","","28 00 00 F1 C2 D8 01 78"
"00:30:32.015","112","Std","","30 02 88 02 58 9C F8 03"
"00:30:32.015","208","Std","","00 55 00 0B 54 CB 3C FF"
"00:30:32.015","112","Std","","38 FE C8 CE C4 01 50 FE"
"00:30:32.016","208","Std","","4F FE FF FF FF FF FF 00"
"00:30:32.016","112","Std","","20 C0 CE BC 01 60 FE BC"
"00:30:32.016","112","Std","","4C CE B0 01 70 00 00 00"
"00:30:32.029","111","Std","","00 F8 00 24 F8 00 00 00"
"00:30:32.029","111","Std","","28 00 00 F1 D1 D8 01 78"
"00:30:32.030","111","Std","","30 02 88 02 58 61 FB 03"
"00:30:32.030","111","Std","","38 FE D0 D1 F0 00 98 FE"
"00:30:32.030","111","Std","","20 CC D1 E4 00 A0 FE CC"
"00:30:32.030","111","Std","","4C D2 00 00 C8 00 00 00"
"00:30:32.036","18F","Std","","00 F6 00 20 02 00 00 F1"
"00:30:32.036","18F","Std","","28 C9 00 00 00 00 00 00"
"00:30:32.036","18F","Std","","30 00 00 00 C0 00 00 00"
"00:30:32.036","18F","Std","","38 00 00 00 00 00 00 00"
"00:30:32.037","18F","Std","","47 00 00 00 00 00 00 04"
"00:30:32.042","301","Std","","66 E3 30 E2 00 00 E2 B8"
"00:30:32.044","320","Std","","66 E1 E2 A2 83 78 40 02"
"00:30:32.046","112","Std","","00 F6 00 24 F6 00 00 00"
"00:30:32.046","112","Std","","28 00 00 F1 E0 D8 01 78"
"00:30:32.046","112","Std","","30 02 88 02 58 D2 F9 03"
"00:30:32.047","112","Std","","38 FE CC CE BC 01 98 FE"
"00:30:32.047","112","Std","","20 D4 CE B8 01 38 FE D0"
"00:30:32.047","112","Std","","4C CE B8 01 70 00 00 00"
"00:30:32.057","111","Std","","00 F9 00 24 F9 00 00 00"
"00:30:32.058","111","Std","","28 00 00 F1 EF D8 01 78"
